Base32InputStreamTest,testBase32EmptyInputStreamMimeChuckSize,1,1
Base32InputStreamTest,testSkipBig,1,1
Base32OutputStreamTest,testBase32EmptyOutputStreamMimeChunkSize,1,1
Base32Test,testBase64AtBufferStart,1,1
Base64InputStreamTest,testBase64EmptyInputStreamMimeChuckSize,1,1
Base64InputStreamTest,testSkipPastEnd,1,1
Base64OutputStreamTest,testBase64EmptyOutputStreamMimeChunkSize,1,1
Base64Test,testCodeInteger1,1,1
Base64Test,testBase64AtBufferStart,1,1
Base64Test,testDecodePadOnly,1,1
Base64Test,testRfc2045Section6Dot8ChunkSizeDefinition,1,1
HexTest,testDecodeBadCharacterPos0,1,1
HexTest,testEncodeHexByteString_ByteBufferBoolean_ToLowerCase,1,1
HexTest,testEncodeHexByteString_ByteArrayBoolean_ToLowerCase,1,1
CharEncodingTest,testIso8859_1,1,1
CharsetsTest,testIso8859_1,1,1
PureJavaCrc32CTest,testZeros,1,0
BeiderMorseEncoderTest,testSpeedCheck2,1,1
PhoneticEngineRegressionTest,testSolrASHKENAZI,1,1
Caverphone1Test,testSpecificationV1Examples,1,1
ColognePhoneticTest,testAabjoe,1,1
DaitchMokotoffSoundexTest,testAdjacentCodes,1,1
DoubleMetaphone2Test,testDoubleMetaphoneAlternate,1,0
DoubleMetaphoneTest,testCCedilla,1,1
MatchRatingApproachEncoderTest,testisEncodeEquals_CornerCase_SecondNameNothing_ReturnsFalse,1,1
MatchRatingApproachEncoderTest,testRemoveSingleDoubleConsonants_BUBLE_RemovedSuccessfully,1,1
MatchRatingApproachEncoderTest,testRemoveVowel_ALESSANDRA_Returns_ALSSNDR,1,1
MatchRatingApproachEncoderTest,testAccentRemoval_AllLower_SuccessfullyRemoved,1,1
MatchRatingApproachEncoderTest,testleftTorightThenRightToLeft_ALEXANDER_ALEXANDRA_Returns4,1,1
MatchRatingApproachEncoderTest,testGetMinRating_7_Return4_Successfully,1,1
MatchRatingApproachEncoderTest,testGetEncoding_HARPER_HRPR,1,1
MatchRatingApproachEncoderTest,testGetFirstLast3__ALEXANDER_Returns_Aleder,1,1
MatchRatingApproachEncoderTest,testCompare_SMITH_SMYTH_SuccessfullyMatched,1,1
MetaphoneTest,testWordsWithCIA,1,1
MetaphoneTest,testIsMetaphoneEqualParis,1,0
MetaphoneTest,testDiscardOfSilentHAfterG,1,1
MetaphoneTest,testWordEndingInMB,1,1
MetaphoneTest,testIsMetaphoneEqualPeter,1,0
NysiisTest,testDad,1,1
NysiisTest,testRule5,1,1
NysiisTest,testOthers,1,1
NysiisTest,testSnat,1,1
SoundexTest,testHWRuleEx2,1,1
SoundexTest,testBadCharacters,1,1
SoundexTest,testUsMappingEWithAcute,1,1
QCodecTest,testBasicEncodeDecode,1,1
QuotedPrintableCodecTest,testBasicEncodeDecode,1,1
URLCodecTest,testBasicEncodeDecode,1,1