org.apache.commons.math4.analysis.differentiation,DSCompilerTest,testIncompatibleParams,testIncompatibleOrder
org.apache.commons.math4.analysis.function,LogisticTest,testPreconditions1,testPreconditions2
org.apache.commons.math4.analysis.function,LogitTest,testParametricUsage5,testParametricUsage6
org.apache.commons.math4.analysis.function,SincTest,testDerivatives1Dot2Unnormalized,testDerivatives1Dot2Normalized
org.apache.commons.math4.analysis,FunctionUtilsTest,testSampleNegativeNumberOfPoints,testSampleNullNumberOfPoints
org.apache.commons.math4.analysis.interpolation,LoessInterpolatorTest,testCompletelyIncorrectBandwidth1,testCompletelyIncorrectBandwidth2
org.apache.commons.math4.analysis.interpolation,LoessInterpolatorTest,testNonStrictlyIncreasing1,testNonStrictlyIncreasing2
org.apache.commons.math4.analysis.interpolation,LoessInterpolatorTest,testNotAllFiniteReal1,testNotAllFiniteReal2,testNotAllFiniteReal3
org.apache.commons.math4.analysis.interpolation,LoessInterpolatorTest,testNotAllFiniteReal4,testNotAllFiniteReal5,testNotAllFiniteReal6
org.apache.commons.math4.analysis.polynomials,PolynomialFunctionTest,testfirstDerivativeComparison,testMath341
org.apache.commons.math4.analysis.solvers,UnivariateSolverUtilsTest,testBadInitial,testBadEndpoints
org.apache.commons.math4.complex,ComplexFormatAbstractTest,testZeroReal,testZeroImaginary
org.apache.commons.math4.complex,ComplexFormatAbstractTest,testParseSimpleWithDecimals,testParseSimpleWithDecimalsTrunc,testParseNegativeReal,testParseNegativeImaginary,testParseNegativeBoth,testParseZeroReal
org.apache.commons.math4.complex,ComplexFormatAbstractTest,testSimpleWithDecimals,testSimpleWithDecimalsTrunc,testNegativeReal,testNegativeImaginary,testNegativeBoth
org.apache.commons.math4.complex,ComplexFormatAbstractTest,testParseNan,testParsePositiveInfinity,testPaseNegativeInfinity
org.apache.commons.math4.complex,ComplexFormatAbstractTest,testNan,testPositiveInfinity,testNegativeInfinity
org.apache.commons.math4.complex,ComplexTest,testDivideZero,testDivideZeroZero
org.apache.commons.math4.complex,ComplexTest,testDivideReal,testDivideImaginary
org.apache.commons.math4.complex,ComplexTest,testSqrtRealPositive,testSqrtRealZero,testSqrtRealNegative,testSqrtImaginaryZero,testSqrtImaginaryNegative
org.apache.commons.math4.complex,ComplexTest,testNthRoot_normal_thirdRoot,testNthRoot_cornercase_thirdRoot_imaginaryPartEmpty,testNthRoot_cornercase_thirdRoot_realPartZero
org.apache.commons.math4.distribution,BinomialDistributionTest,testDegenerate1,testDegenerate2
org.apache.commons.math4.distribution,EmpiricalDistributionTest,testGridTooFine,testGridTooFat
org.apache.commons.math4.distribution.fitting,MultivariateNormalMixtureExpectationMaximizationTest,testMaxIterationsPositive,testThresholdPositive
org.apache.commons.math4.distribution,GammaDistributionTest,testMath753Shape1,testMath753Shape8,testMath753Shape10,testMath753Shape100,testMath753Shape142,testMath753Shape1000
org.apache.commons.math4.distribution,HypergeometricDistributionTest,testLargeValues,testMoreLargeValues
org.apache.commons.math4.distribution,HypergeometricDistributionTest,testDegenerateNoFailures,testDegenerateNoSuccesses,testDegenerateFullSample
org.apache.commons.math4.distribution,TriangularDistributionTest,testPreconditions1,testPreconditions2,testPreconditions3
org.apache.commons.math4.distribution,UniformRealDistributionTest,testPreconditions1,testPreconditions2
org.apache.commons.math4.distribution,ZipfDistributionTest,testPreconditions1,testPreconditions2
org.apache.commons.math4,ExtendedFieldElementAbstractTest,testMultiplyDouble,testMultiplyInt
org.apache.commons.math4.fraction,BigFractionFormatTest,testFormatImproper,testFormatImproperNegative
org.apache.commons.math4.fraction,BigFractionFormatTest,testLongFormat,testDoubleFormat
org.apache.commons.math4.fraction,BigFractionFormatTest,testFormat,testFormatNegative,testFormatZero
org.apache.commons.math4.fraction,BigFractionFormatTest,testParseProper,testParseProperNegative
org.apache.commons.math4.fraction,BigFractionFormatTest,testParseInvalid,testParseInvalidDenominator
org.apache.commons.math4.fraction,BigFractionTest,testPositiveValueOverflow,testNegativeValueOverflow
org.apache.commons.math4.fraction,FractionFormatTest,testParseProper,testParseProperNegative
org.apache.commons.math4.fraction,FractionFormatTest,testFormat,testFormatNegative,testFormatZero
org.apache.commons.math4.fraction,FractionFormatTest,testFormatImproper,testFormatImproperNegative
org.apache.commons.math4.fraction,FractionFormatTest,testParseInvalid,testParseInvalidDenominator
org.apache.commons.math4.fraction,FractionFormatTest,testParseOne1,testParseOne2,testParseZero1
org.apache.commons.math4.genetics,CycleCrossoverTest,testCrossoverInvalidFixedLengthChromosomeFirst,testCrossoverInvalidFixedLengthChromosomeSecond
org.apache.commons.math4.genetics,ElitisticListPopulationTest,testSetElitismRateTooLow,testSetElitismRateTooHigh
org.apache.commons.math4.genetics,ElitisticListPopulationTest,testChromosomeListConstructorTooLow,testChromosomeListConstructorTooHigh
org.apache.commons.math4.genetics,ElitisticListPopulationTest,testConstructorTooLow,testConstructorTooHigh
org.apache.commons.math4.genetics,NPointCrossoverTest,testCrossoverInvalidFixedLengthChromosomeFirst,testCrossoverInvalidFixedLengthChromosomeSecond
org.apache.commons.math4.genetics,OrderedCrossoverTest,testCrossoverInvalidFixedLengthChromosomeFirst,testCrossoverInvalidFixedLengthChromosomeSecond
org.apache.commons.math4.genetics,RandomKeyTest,testConstructor1,testConstructor2
org.apache.commons.math4.genetics,UniformCrossoverTest,testRatioTooLow,testRatioTooHigh
org.apache.commons.math4.genetics,UniformCrossoverTest,testCrossoverInvalidFixedLengthChromosomeFirst,testCrossoverInvalidFixedLengthChromosomeSecond
org.apache.commons.math4.geometry.enclosing,WelzlEncloser2DTest,testRegularPoints,testReducingBall1
org.apache.commons.math4.geometry.euclidean.oned,Vector1DFormatAbstractTest,testParseSimpleWithDecimals,testParseSimpleWithDecimalsTrunc,testParseNegativeX,testParseNegativeY,testParseNegativeZ,testParseNegativeAll,testParseZeroX
org.apache.commons.math4.geometry.euclidean.oned,Vector1DFormatAbstractTest,testSimpleWithDecimals,testSimpleWithDecimalsTrunc,testNegativeX
org.apache.commons.math4.geometry.euclidean.oned,Vector1DFormatAbstractTest,testForgottenPrefix,testForgottenSuffix
org.apache.commons.math4.geometry.euclidean.threed,SubLineTest,testIntersectionInsideBoundary,testIntersectionBoundaryBoundary
org.apache.commons.math4.geometry.euclidean.threed,SubLineTest,testIntersectionInsideOutside,testIntersectionBoundaryOutside,testIntersectionOutsideOutside,testIntersectionNotIntersecting
org.apache.commons.math4.geometry.euclidean.threed,Vector3DFormatAbstractTest,testParseSimpleWithDecimals,testParseSimpleWithDecimalsTrunc,testParseNegativeX,testParseNegativeY,testParseNegativeZ,testParseNegativeAll,testParseZeroX
org.apache.commons.math4.geometry.euclidean.threed,Vector3DFormatAbstractTest,testSimpleWithDecimals,testSimpleWithDecimalsTrunc,testNegativeX,testNegativeY,testNegativeZ
org.apache.commons.math4.geometry.euclidean.threed,Vector3DFormatAbstractTest,testForgottenPrefix,testForgottenSeparator,testForgottenSuffix
org.apache.commons.math4.geometry.euclidean.twod.hull,ConvexHullGenerator2DAbstractTest,testOnePoint,testTwoPoints
org.apache.commons.math4.geometry.euclidean.twod.hull,ConvexHullGenerator2DAbstractTest,testCollinearPoints,testCollinearPointsReverse,testIdenticalPoints,testClosePoints
org.apache.commons.math4.geometry.euclidean.twod.hull,ConvexHullGenerator2DAbstractTest,testCollinearPointsIncluded,testCollinearPointsIncludedReverse,testIdenticalPoints2
org.apache.commons.math4.geometry.euclidean.twod,SubLineTest,testIntersectionInsideBoundary,testIntersectionBoundaryBoundary
org.apache.commons.math4.geometry.euclidean.twod,SubLineTest,testIntersectionInsideOutside,testIntersectionBoundaryOutside,testIntersectionOutsideOutside
org.apache.commons.math4.geometry.euclidean.twod,Vector2DFormatAbstractTest,testSimpleWithDecimals,testSimpleWithDecimalsTrunc,testNegativeX,testNegativeY,testNegativeZ
org.apache.commons.math4.geometry.euclidean.twod,Vector2DFormatAbstractTest,testForgottenPrefix,testForgottenSeparator,testForgottenSuffix
org.apache.commons.math4.geometry.euclidean.twod,Vector2DFormatAbstractTest,testParseSimpleWithDecimals,testParseSimpleWithDecimalsTrunc,testParseNegativeX,testParseNegativeY,testParseNegativeZ,testParseNegativeAll,testParseZeroX
org.apache.commons.math4.geometry.spherical.twod,S2PointTest,testNegativePolarAngle,testTooLargePolarAngle
org.apache.commons.math4.linear,ConjugateGradientTest,testDimensionMismatchRightHandSide,testDimensionMismatchSolution
org.apache.commons.math4.linear,DiagonalMatrixTest,testMultiplyNonDiagonalEntry,testMultiplyNonDiagonalZero
org.apache.commons.math4.linear,EigenDecompositionTest,testDimension3,testDimension3MultipleRoot
org.apache.commons.math4.linear,EigenDecompositionTest,testDimension4WithSplit,testDimension4WithoutSplit
org.apache.commons.math4.linear,EigenDecompositionTest,testSquareRootNonSymmetric,testSquareRootNonPositiveDefinite
org.apache.commons.math4.linear,EigenDecompositionTest,testMathpbx02,testMathpbx03
org.apache.commons.math4.linear,RealMatrixFormatAbstractTest,testNan,testPositiveInfinity,tesNegativeInfinity
org.apache.commons.math4.linear,RealMatrixFormatAbstractTest,testParsePositiveInfinity,testParseNegativeInfinity
org.apache.commons.math4.linear,RealMatrixFormatAbstractTest,testSimpleWithDecimals,testSimpleWithDecimalsTrunc,testNegativeComponent,testNegativeComponent2,testNegativeSecondRow
org.apache.commons.math4.linear,RealMatrixFormatAbstractTest,testForgottenPrefix,testForgottenSeparator,testForgottenSuffix
org.apache.commons.math4.linear,RealMatrixFormatAbstractTest,testParseSimpleWithDecimals,testParseSimpleWithDecimalsTrunc,testParseNegativeComponent,testParseNegativeAll,testParseZeroComponent
org.apache.commons.math4.linear,RealVectorAbstractTest,testSetEntryInvalidIndex1,testSetEntryInvalidIndex2
org.apache.commons.math4.linear,RealVectorAbstractTest,testDotProductDimensionMismatchSameType,testDotProductDimensionMismatchMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testMapSubtract,testMapSubtractToSelf
org.apache.commons.math4.linear,RealVectorAbstractTest,testCosineSameType,testCosineMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testGetEntryInvalidIndex1,testGetEntryInvalidIndex2
org.apache.commons.math4.linear,RealVectorAbstractTest,testGetL1DistanceSameType,testGetL1DistanceMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testMapAdd,testMapAddToSelf
org.apache.commons.math4.linear,RealVectorAbstractTest,testSetSubVectorInvalidIndex1,testSetSubVectorInvalidIndex2,testSetSubVectorInvalidIndex3
org.apache.commons.math4.linear,RealVectorAbstractTest,testMapMultiply,testMapMultiplyToSelf
org.apache.commons.math4.linear,RealVectorAbstractTest,testDotProductSameType,testDotProductMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testSubtractSameType,testSubtractMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testGetLInfDistanceSameType,testGetLInfDistanceMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testOuterProductSameType,testOuterProductMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testUnitVectorNullVector,testUnitizeNullVector
org.apache.commons.math4.linear,RealVectorAbstractTest,testGetDistanceSameType,testGetDistanceMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testUnitVector,testUnitize
org.apache.commons.math4.linear,RealVectorAbstractTest,testCombineSameType,testCombineMixedTypes,testCombineToSelfSameType,testCombineToSelfMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testAddSameType,testAddMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testMapDivide,testMapDivideToSelf
org.apache.commons.math4.linear,RealVectorAbstractTest,testProjectionSameType,testProjectionMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testEbeDivideSameType,testEbeDivideMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testMap,testMapToSelf
org.apache.commons.math4.linear,RealVectorAbstractTest,testAddToEntryInvalidIndex1,testAddToEntryInvalidIndex2
org.apache.commons.math4.linear,RealVectorAbstractTest,testCombineDimensionMismatchSameType,testCombineDimensionMismatchMixedTypes,testCombineToSelfDimensionMismatchSameType,testCombineToSelfDimensionMismatchMixedTypes
org.apache.commons.math4.linear,RealVectorAbstractTest,testEbeMultiplySameType,testEbeMultiplyMixedTypes
org.apache.commons.math4.linear,RealVectorFormatAbstractTest,testParseNan,testParsePositiveInfinity,testParseNegativeInfinity
org.apache.commons.math4.linear,RealVectorFormatAbstractTest,testNan,testPositiveInfinity,tesNegativeInfinity
org.apache.commons.math4.linear,RealVectorFormatAbstractTest,testSimpleWithDecimals,testSimpleWithDecimalsTrunc,testNegativeX,testNegativeY,testNegativeZ
org.apache.commons.math4.linear,RealVectorFormatAbstractTest,testParseSimpleWithDecimals,testParseSimpleWithDecimalsTrunc,testParseNegativeX,testParseNegativeY,testParseNegativeZ,testParseNegativeAll,testParseZeroX
org.apache.commons.math4.linear,RealVectorFormatAbstractTest,testForgottenPrefix,testForgottenSeparator,testForgottenSuffix
org.apache.commons.math4.linear,RealVectorTest,testAppendVector,testAppendScalar,testGetSubVector,testGetSubVectorInvalidIndex1,testGetSubVectorInvalidIndex2,testGetSubVectorInvalidIndex3,testGetSubVectorInvalidIndex4,testSetSubVectorSameType,testSetSubVectorMixedType,testSetSubVectorInvalidIndex1,testSetSubVectorInvalidIndex2,testSetSubVectorInvalidIndex3,testIsNaN,testIsInfinite,testEbeMultiplySameType,testEbeMultiplyMixedTypes,testEbeMultiplyDimensionMismatch,testEbeDivideSameType,testEbeDivideMixedTypes,testEbeDivideDimensionMismatch,testGetL1Norm,testGetLInfNorm,testSerial,testEquals
org.apache.commons.math4.linear,SparseRealVectorTest,testEbeMultiplyMixedTypes,testEbeMultiplySameType
org.apache.commons.math4.linear,SymmLQTest,testSolveSaunders1,testSolveSaunders2,testSolveSaunders3,testSolveSaunders4,testSolveSaunders5,testSolveSaunders6,testSolveSaunders7,testSolveSaunders8,testSolveSaunders9,testSolveSaunders10,testSolveSaunders11,testSolveSaunders12,testSolveSaunders13,testSolveSaunders14,testSolveSaunders15,testSolveSaunders16,testSolveSaunders17,testSolveSaunders18,testSolveSaunders19,testSolveSaunders20
org.apache.commons.math4.ml.clustering,DBSCANClustererTest,testNegativeEps,testNegativeMinPts
org.apache.commons.math4.ml.neuralnet.sofm,LearningFactorFunctionFactoryTest,testExponentialDecayPrecondition2,testExponentialDecayPrecondition4
org.apache.commons.math4.ml.neuralnet.sofm,NeighbourhoodSizeFunctionFactoryTest,testExponentialDecayPrecondition1,testExponentialDecayPrecondition2,testExponentialDecayPrecondition4
org.apache.commons.math4.ml.neuralnet.sofm,NeighbourhoodSizeFunctionFactoryTest,testQuasiSigmoidDecayPrecondition1,testQuasiSigmoidDecayPrecondition4
org.apache.commons.math4.ml.neuralnet.sofm.util,ExponentialDecayFunctionTest,testPrecondition1,testPrecondition2,testPrecondition4
org.apache.commons.math4.ml.neuralnet.sofm.util,QuasiSigmoidDecayFunctionTest,testPrecondition1,testPrecondition4
org.apache.commons.math4.ml.neuralnet.twod,NeuronSquareMesh2DTest,testMinimalNetworkSize1,testMinimalNetworkSize2
org.apache.commons.math4.ode.events,CloseEventsTest,testCloseEvents,testSimultaneousEvents
org.apache.commons.math4.ode.events,OverlappingEventsTest,testOverlappingEvents0,testOverlappingEvents1
org.apache.commons.math4.ode.events,ReappearingEventTest,testDormandPrince,testGragg
org.apache.commons.math4.ode.nonstiff,AbstractEmbeddedRungeKuttaFieldIntegratorTest,testNonFieldIntegratorConsistency,testForwardBackwardExceptions,testIncreasingTolerance,testEvents,testEventsNoConvergence,testSanityChecks,testBackward,testKepler,testPartialDerivatives
org.apache.commons.math4.ode.nonstiff,AbstractRungeKuttaFieldIntegratorTest,testNonFieldIntegratorConsistency,testMissedEndEvent,testSanityChecks,testDecreasingSteps,testSmallStep,testBigStep,testBackward,testKepler,testStepSize,testSingleStep,testTooLargeFirstStep,testUnstableDerivative,testDerivativesConsistency,testPartialDerivatives
org.apache.commons.math4.ode.nonstiff,AdamsFieldIntegratorAbstractTest,testIncreasingTolerance,backward,polynomial
org.apache.commons.math4.ode.nonstiff,AdamsNordsieckTransformerTest,testPolynomialExtraDerivative,testPolynomialRegular,testPolynomialMissingLastDerivative
org.apache.commons.math4.ode.nonstiff,AdamsNordsieckTransformerTest,testTransformExact,testTransformInexact
org.apache.commons.math4.ode.nonstiff,EmbeddedRungeKuttaFieldIntegratorAbstractTest,testNonFieldIntegratorConsistency,testForwardBackwardExceptions,testIncreasingTolerance,testEvents,testEventsNoConvergence,testSanityChecks,testBackward,testKepler,testPartialDerivatives
org.apache.commons.math4.ode.nonstiff,RungeKuttaFieldIntegratorAbstractTest,testNonFieldIntegratorConsistency,testMissedEndEvent,testSanityChecks,testDecreasingSteps,testSmallStep,testBigStep,testBackward,testKepler,testStepSize,testSingleStep,testTooLargeFirstStep,testUnstableDerivative,testDerivativesConsistency,testPartialDerivatives
org.apache.commons.math4.ode.nonstiff,RungeKuttaFieldStepInterpolatorAbstractTest,interpolationAtBounds,interpolationInside,nonFieldInterpolatorConsistency
org.apache.commons.math4.optim.nonlinear.scalar,MultivariateFunctionMappingAdapterTest,testStartSimplexInsideRange,testOptimumOutsideRange
org.apache.commons.math4.optim.nonlinear.scalar,MultivariateFunctionPenaltyAdapterTest,testStartSimplexInsideRange,testStartSimplexOutsideRange
org.apache.commons.math4.optim.nonlinear.scalar.noderiv,SimplexOptimizerMultiDirectionalTest,testMinimize1,testMinimize2
org.apache.commons.math4.optim.nonlinear.scalar.noderiv,SimplexOptimizerNelderMeadTest,testMinimize1,testMinimize2
org.apache.commons.math4.optim.nonlinear.scalar.noderiv,SimplexOptimizerNelderMeadTest,testMaximize1,testMaximize2
org.apache.commons.math4.random,RandomUtilsDataGeneratorAbstractTest,testNextUniformPositiveBounds,testNextUniformNegativeToPositiveBounds,testNextUniformNegativeBounds
org.apache.commons.math4.random,StableRandomGeneratorTest,testAlphaRangeAboveTwo,testBetaRangeBelowMinusOne,testBetaRangeAboveOne
org.apache.commons.math4.special,BesselJTest,testIAEBadOrder,testIAEBadArgument
org.apache.commons.math4.stat.correlation,KendallsCorrelationTest,testSimpleOrdered,testSimpleOrderedPowerOf2
org.apache.commons.math4.stat.correlation,KendallsCorrelationTest,testSimpleReversed,testSimpleReversedPowerOf2
org.apache.commons.math4.stat.correlation,KendallsCorrelationTest,testAllTiesInBoth,testSingleElement
org.apache.commons.math4.stat.correlation,SpearmansRankCorrelationTest,testStdErrorConsistency,testCovarianceConsistency
org.apache.commons.math4.stat.correlation,StorelessCovarianceTest,testLonglySimpleVar,testLonglySimpleCov
org.apache.commons.math4.stat.descriptive.rank,PSquarePercentileTest,test99Percentile,test90Percentile,test20Percentile,test5Percentile,test99PercentileHighValues,test90PercentileHighValues,test20PercentileHighValues,test5PercentileHighValues
org.apache.commons.math4.stat.descriptive.rank,PSquarePercentileTest,testMarkersOORLow,testMarkersOORHigh
org.apache.commons.math4.stat.descriptive.rank,PSquarePercentileTest,testMarkerHeightWithLowerIndex,testMarkerHeightWithHigherIndex
org.apache.commons.math4.stat.descriptive.rank,PSquarePercentileTest,testMarkersWithLowerIndex,testMarkersWithHigherIndex
org.apache.commons.math4.stat.descriptive.rank,PSquarePercentileTest,testNegativeInvalidValues,testPositiveInvalidValues
org.apache.commons.math4.stat.inference,GTestTest,testGTestIndependance1,testGTestIndependance2
org.apache.commons.math4.stat.interval,BinomialConfidenceIntervalAbstractTest,testZeroConfidencelevel,testOneConfidencelevel
org.apache.commons.math4.stat.regression,MillerUpdatingRegressionTest,testWampler1,testWampler2,testWampler3
org.apache.commons.math4.stat.regression,MultipleLinearRegressionAbstractTest,testNewSampleInvalidData,testNewSampleInsufficientData
org.apache.commons.math4.stat.regression,OLSMultipleLinearRegressionTest,testWampler1,testWampler2,testWampler3,testWampler4
org.apache.commons.math4.util,FastMathTest,testFloorModInt,testFloorModLong
org.apache.commons.math4.util,FastMathTest,testFloorDivInt,testFloorDivLong
org.apache.commons.math4.util,IntegerSequenceTest,testIncreasingRange,testIncreasingRangeNegativeEnd,testDecreasingRange
org.apache.commons.math4.util,MathArraysTest,testL2DistanceDouble,testL2DistanceInt
org.apache.commons.math4.util,MathUtilsTest,testIndicatorByte,testIndicatorShort
org.apache.commons.math4.util,MathUtilsTest,testSignByte,testSignShort
org.apache.commons.math4.util,OpenIntToDoubleHashMapTest,testPutAndGetWith0ExpectedSize,testPutAndGetWithExpectedSize
org.apache.commons.math4.util,OpenIntToFieldTest,testPutAndGetWith0ExpectedSize,testPutAndGetWithExpectedSize
